case,marker_id,element_id,center_r_um,center_height_above_surface_um,vx_m_s,vy_m_s,layer_id
ep_5p0uj_ejecta_8500ms,159,7519,1.800000,1.455000,171.425370,12316.932202,5
ep_5p0uj_ejecta_8500ms,160,7520,2.400000,1.455000,222.505744,11990.297166,5
ep_5p0uj_ejecta_8500ms,161,7521,3.000000,1.455000,268.685114,11583.033512,5
ep_5p0uj_ejecta_8500ms,162,7522,3.600000,1.455000,309.088031,11104.005013,5
ep_5p0uj_ejecta_8500ms,163,7523,4.200000,1.455000,343.045151,10563.356958,5
ep_5p0uj_ejecta_8500ms,164,7524,4.800000,1.455000,370.109735,9972.159876,5
ep_5p0uj_ejecta_8500ms,165,7525,5.400000,1.455000,390.063468,9342.034777,5
ep_5p0uj_ejecta_8500ms,166,7526,6.000000,1.455000,402.911799,8684.777510,5
ep_5p0uj_ejecta_8500ms,167,7527,6.600000,1.455000,408.869635,8011.998966,5
ep_5p0uj_ejecta_8500ms,168,7528,7.200000,1.455000,408.338733,7334.796050,5
ep_5p0uj_ejecta_8500ms,169,7529,7.800000,1.455000,401.878536,6663.465760,5
ep_5p0uj_ejecta_8500ms,170,7530,8.400000,1.455000,390.172443,6007.271615,5
ep_5p0uj_ejecta_8500ms,171,7531,9.000000,1.455000,373.991632,5374.268218,5
ep_5p0uj_ejecta_8500ms,172,7532,9.600000,1.455000,354.158482,4771.186315,5
ep_5p0uj_ejecta_8500ms,173,7533,10.200000,1.455000,331.511498,4203.377403,5
ep_5p0uj_ejecta_8500ms,174,7534,10.800000,1.455000,306.873339,3674.814019,5
ep_5p0uj_ejecta_8500ms,175,7535,11.400000,1.455000,281.023219,3188.139484,5
ep_5p0uj_ejecta_8500ms,176,7536,12.000000,1.455000,254.674533,2744.759101,5
ep_5p0uj_ejecta_8500ms,177,7537,12.600000,1.455000,228.458177,2344.963698,5
ep_5p0uj_ejecta_8500ms,178,7538,13.200000,1.455000,202.911637,1988.076007,5
ep_5p0uj_ejecta_8500ms,179,7539,13.800000,1.455000,178.473582,1672.610484,5
ep_5p0uj_ejecta_8500ms,180,7540,14.400000,1.455000,155.483442,1396.437862,5
ep_5p0uj_ejecta_8500ms,181,7541,15.000000,1.455000,134.185220,1156.946792,5
ep_5p0uj_ejecta_8500ms,182,7542,15.600000,1.455000,114.734695,951.196246,5
ep_5p0uj_ejecta_8500ms,183,7543,16.200000,1.455000,97.209093,776.053817,5
ep_5p0uj_ejecta_8500ms,184,7544,16.800000,1.455000,81.618356,628.316581,5
ep_5p0uj_ejecta_8500ms,185,7545,17.400000,1.455000,67.917151,504.812584,5
ep_5p0uj_ejecta_8500ms,186,7546,18.000000,1.455000,56.016935,402.482308,5
ep_5p0uj_ejecta_8500ms,187,7547,0.000000,1.705000,0.000000,13600.000000,6
ep_5p0uj_ejecta_8500ms,188,7548,0.600000,1.705000,58.924236,13547.881630,6
ep_5p0uj_ejecta_8500ms,189,7549,1.200000,1.705000,116.498789,13392.721840,6
ep_5p0uj_ejecta_8500ms,190,7550,1.800000,1.705000,171.425370,13138.061015,6
ep_5p0uj_ejecta_8500ms,191,7551,2.400000,1.705000,222.505744,12789.650310,6
ep_5p0uj_ejecta_8500ms,192,7552,3.000000,1.705000,268.685114,12355.235746,6
ep_5p0uj_ejecta_8500ms,193,7553,3.600000,1.705000,309.088031,11844.272014,6
ep_5p0uj_ejecta_8500ms,194,7554,4.200000,1.705000,343.045151,11267.580755,6
ep_5p0uj_ejecta_8500ms,195,7555,4.800000,1.705000,370.109735,10636.970535,6
ep_5p0uj_ejecta_8500ms,196,7556,5.400000,1.705000,390.063468,9964.837096,6
ep_5p0uj_ejecta_8500ms,197,7557,6.000000,1.705000,402.911799,9263.762678,6
ep_5p0uj_ejecta_8500ms,198,7558,6.600000,1.705000,408.869635,8546.132231,6
ep_5p0uj_ejecta_8500ms,199,7559,7.200000,1.705000,408.338733,7823.782453,6
ep_5p0uj_ejecta_8500ms,200,7560,7.800000,1.705000,401.878536,7107.696811,6
ep_5p0uj_ejecta_8500ms,201,7561,8.400000,1.705000,390.172443,6407.756390,6
ep_5p0uj_ejecta_8500ms,202,7562,9.000000,1.705000,373.991632,5732.552766,6
