case,step,time_ps,depth_mid_nm,atom_count,mean_atom_temperature_K,mean_stress_proxy_eV
fluence_0p5_100ps,80000,7.9999,5.107518,256,1281.5768,151823.93
fluence_0p5_100ps,80000,7.9999,4.845594,256,1346.2453,116643.29
fluence_0p5_100ps,80000,7.9999,4.58367,254,1348.115,172726.35
fluence_0p5_100ps,80000,7.9999,4.321746,243,1356.9204,93328.904
fluence_0p5_100ps,80000,7.9999,4.059822,226,1254.819,109114.65
fluence_0p5_100ps,80000,7.9999,3.797898,216,1344.4884,49155.779
fluence_0p5_100ps,80000,7.9999,3.535974,234,1433.3282,187407.07
fluence_0p5_100ps,80000,7.9999,3.27405,239,1418.8033,143584.71
fluence_0p5_100ps,80000,7.9999,3.012126,252,1293.5656,4222.3857
fluence_0p5_100ps,80000,7.9999,2.750202,256,1410.7362,135318.86
fluence_0p5_100ps,80000,7.9999,2.488278,256,1363.4266,132502.18
fluence_0p5_100ps,80000,7.9999,2.226354,256,1312.9305,-16545.681
fluence_0p5_100ps,80000,7.9999,1.96443,255,1345.6113,207711.99
fluence_0p5_100ps,80000,7.9999,1.702506,256,1297.4929,168799.82
fluence_0p5_100ps,80000,7.9999,1.440582,251,1345.7546,289379.61
fluence_0p5_100ps,80000,7.9999,1.178658,247,1377.8861,-33400.535
fluence_0p5_100ps,80000,7.9999,0.916734,217,1260.2352,39791.314
fluence_0p5_100ps,80000,7.9999,0.65481,230,1404.9722,146416.66
fluence_0p5_100ps,80000,7.9999,0.392886,231,1310.8875,122498.63
fluence_0p5_100ps,80000,7.9999,0.130962,255,1275.6701,-16541.3
fluence_0p5_100ps,90000,8.9999,12.965238,256,,-422.535
fluence_0p5_100ps,90000,8.9999,12.703314,256,,-368.52033
fluence_0p5_100ps,90000,8.9999,12.44139,257,216.79174,17589.437
fluence_0p5_100ps,90000,8.9999,12.179466,255,1392.2935,241794.85
fluence_0p5_100ps,90000,8.9999,11.917542,256,1558.9126,35606.766
fluence_0p5_100ps,90000,8.9999,11.655618,256,1449.9071,30874.352
fluence_0p5_100ps,90000,8.9999,11.393694,256,1448.6305,115050.64
fluence_0p5_100ps,90000,8.9999,11.13177,254,1573.9653,13989.945
fluence_0p5_100ps,90000,8.9999,10.869846,254,1626.7027,128579.28
fluence_0p5_100ps,90000,8.9999,10.607922,244,1476.6649,2991.5961
fluence_0p5_100ps,90000,8.9999,10.345998,227,1599.6746,46386.23
fluence_0p5_100ps,90000,8.9999,10.084074,222,1564.0375,157909.65
fluence_0p5_100ps,90000,8.9999,9.82215,232,1442.5165,336551.08
fluence_0p5_100ps,90000,8.9999,9.560226,244,1559.5698,281178.18
fluence_0p5_100ps,90000,8.9999,9.298302,246,1554.1677,229034.42
fluence_0p5_100ps,90000,8.9999,9.036378,253,1541.7104,42513.846
fluence_0p5_100ps,90000,8.9999,8.774454,256,1451.2865,-115181.71
fluence_0p5_100ps,90000,8.9999,8.51253,256,1630.1155,198621.28
fluence_0p5_100ps,90000,8.9999,8.250606,256,1566.4399,139281.92
fluence_0p5_100ps,90000,8.9999,7.988682,255,1542.6164,265290.94
fluence_0p5_100ps,90000,8.9999,7.726758,254,1476.8127,98344.263
fluence_0p5_100ps,90000,8.9999,7.464834,244,1679.5586,8907.7213
