case,element_id,i,j,r_center_um,z_center_um,reason
ep_5p0uj_recoil_1000ms,7213,12,90,6.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7214,13,90,6.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7215,14,90,7.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7216,15,90,7.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7217,16,90,8.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7218,17,90,8.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7219,18,90,9.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7220,19,90,9.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7221,20,90,10.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7222,21,90,11.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7223,22,90,12.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7224,23,90,13.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7225,24,90,14.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7226,25,90,15.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7227,26,90,16.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7281,0,91,0.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7282,1,91,0.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7283,2,91,1.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7284,3,91,1.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7285,4,91,2.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7286,5,91,2.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7287,6,91,3.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7288,7,91,3.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7289,8,91,4.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7290,9,91,4.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7291,10,91,5.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7292,11,91,5.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7293,12,91,6.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7294,13,91,6.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7295,14,91,7.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7296,15,91,7.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7297,16,91,8.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7298,17,91,8.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7299,18,91,9.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7300,19,91,9.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7301,20,91,10.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7302,21,91,11.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7303,22,91,12.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7304,23,91,13.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7305,24,91,14.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7306,25,91,15.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7307,26,91,16.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6961,0,87,0.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6962,1,87,0.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6963,2,87,1.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6964,3,87,1.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6965,4,87,2.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6966,5,87,2.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6967,6,87,3.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6968,7,87,3.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6969,8,87,4.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6970,9,87,4.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6971,10,87,5.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6972,11,87,5.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6973,12,87,6.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6974,13,87,6.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_3000ms,6975,14,87,7.250000,4.955000,pre-deleted vapor-zone element
