case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV
fluence_0p5_100ps,440000,41.9999,0.6729,0.3106,0,0.283775,-0.28296,-0.368475,,0.24402985,0.002238806,1.5148624,3335.5519,9068.0335,2813.3421,8185.8701,,4090.2761,4099.2562,4105.345,4116.5522,3685.7864,674,2359,0,0,0,0,0,12414,0,-11.985558,13.319194,22.301588,-42482.948,5914.8199,-36568.128
fluence_0p5_100ps,450000,42.9999,0.7166,0.294075,0,0.1686975,-0.19997,-0.488195,,0.24776119,0.0029850746,1.5033495,3284.8838,8868.5982,2742.5708,7529.122,,4099.3761,4109.3756,4115.4744,4131.7981,3743.9734,663,2355,0,0,0,0,0,12415,0,-11.785932,15.296637,21.964105,-42463.142,6008.1963,-36454.946
fluence_0p5_100ps,460000,43.9999,0.749,0.2355825,0,0.19732,-0.25895,-0.45298,,0.23507463,0.0014925373,1.5122876,3308.2224,9094.4802,2826.5953,7708.7094,,4098.8686,4116.1859,4120.1692,4131.5262,3741.6461,645,2314,0,0,0,0,0,12415,0,-12.946942,13.569421,22.312878,-42386.849,6004.4616,-36382.388
fluence_0p5_100ps,470000,44.9999,0.6408,0.2425575,0,0.127335,-0.282605,-0.4328775,,0.23134328,0.0059701493,1.5230167,3269.6423,8708.4404,2769.0883,7624.7869,,4114.7972,4122.0581,4127.1278,4141.5234,3781.8119,676,2361,0,0,0,0,0,12415,0,-12.279166,13.090895,22.36286,-42390.814,6068.9182,-36321.896
fluence_0p5_100ps,480000,45.9999,0.7365,0.19959,0,0.1436,-0.2756425,-0.3637825,,0.24552239,0.0029850746,1.5066171,3291.3384,9105.8333,2755.4748,7676.5112,,4114.5018,4124.8204,4126.9543,4138.874,3746.3419,661,2381,0,0,3,3,0,12412,3,-11.68708,14.503057,22.024391,-42311.692,6011.9973,-36299.695
fluence_0p5_100ps,490000,46.9999,0.9186,0.2289775,0,0.216455,-0.38103,-0.3972175,,0.24179104,0.0052238806,1.5355836,3308.2565,9220.3157,2816.8993,8023.4298,,4114.2852,4126.8112,4128.3376,4145.4804,3755.069,627,2368,0,0,0,0,0,12415,0,-12.253875,13.851952,23.153331,-42312.852,6026.0021,-36286.85
fluence_0p5_100ps,500000,47.9999,0.8319,0.2234625,0.0630875,0.2657225,-0.3944,-0.3313125,,0.22835821,0.0059701493,1.5113445,3315.1413,8460.6994,2787.6037,7644.0655,,4118.1716,4131.7341,4136.927,4145.7313,3779.231,663,2414,0,0,0,1,0,12413,1,-12.184467,12.744309,21.718523,-42301.844,6064.7765,-36237.068
fluence_0p5_100ps,510000,48.9999,0.6082,0.28478,0.0681675,0.321955,-0.3595325,-0.291365,,0.23059701,0.0044776119,1.5250667,3290.7587,8729.1738,2823.2798,7624.8217,,4118.5323,4133.8157,4136.883,4148.7965,3734.7801,692,2366,0,0,0,1,0,12415,1,-11.621871,14.25159,22.379653,-42216.846,5993.4432,-36223.402
fluence_0p5_100ps,520000,49.9999,0.9985,0.3733825,0,0.33382,-0.2491925,-0.2939375,,0.23880597,0.0044776119,1.5047144,3323.4665,9002.2281,2794.5806,7838.6289,,4128.9794,4143.3271,4147.1683,4158.8588,3783.1815,692,2437,0,0,0,1,0,12412,1,-12.857309,14.044312,22.370243,-42187.124,6071.1161,-36116.007
fluence_0p5_100ps,530000,50.9999,0.883,0.2826475,0,0.3140625,-0.3085175,-0.3416325,,0.2358209,0.0029850746,1.523885,3354.0649,8942.0974,2855.3114,7963.1017,,4127.4901,4145.9808,4147.3835,4154.5905,3773.6962,689,2370,0,0,0,1,0,12414,1,-11.715256,13.434937,22.864707,-42150.618,6055.8945,-36094.723
